filename,tps,model,platform
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,168.09,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,130.65,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,111.11,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,77.91,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,103.09,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,118.47,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,138.85,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,140.73,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,107.05,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,112.64,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07229v2_DiSCo Making Absence Visible in Intelligent Summar.pdf,86.21,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07232v1_Yes FLoReNce I Will Do Better Next Time Agentic Fe.pdf,155.33,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07233v1_From Thinking to Justifying Aligning High-Stakes E.pdf,126.02,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07238v1_Group Pattern Selection Optimization Let LRMs Pick.pdf,85.95,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07239v1_Stochastic CHAOS Why Deterministic Inference Kills.pdf,146.28,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07245v1_Learning to Trust the Crowd A Multi-Model Consensu.pdf,135.77,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07250v1_DDT A Dual-Masking Dual-Expert Transformer for Ene.pdf,126.35,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07261v1_Pseudodata-guided Invariant Representation Learnin.pdf,93.51,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07263v1_When Bots Take the Bait Exposing and Mitigating th.pdf,107.3,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07291v1_A Visual Semantic Adaptive Watermark grounded by P.pdf,162.81,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07292v1_Photometric Redshift Estimation Using Scaled Ensem.pdf,76.41,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07296v1_LRAS Advanced Legal Reasoning with Agentic Search.pdf,68.57,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07304v1_Heterogeneous Multi-Expert Reinforcement Learning .pdf,104.76,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07309v1_ARM Role-Conditioned Neuron Transplantation for Tr.pdf,84.51,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07313v1_Explaining Machine Learning Predictive Models thro.pdf,144.5,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07315v1_VLM-CAD VLM-Optimized Collaborative Agent Design W.pdf,145.69,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07316v1_BEAT-Net Injecting Biomimetic Spatio-Temporal Prio.pdf,135.94,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07320v1_Segmental Advantage Estimation Enhancing PPO for L.pdf,141.56,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07342v1_Agentic Diagnostic Reasoning over Telecom and Data.pdf,69.3,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07344v1_PulseMind A Multi-Modal Medical Model for Real-Wor.pdf,141.17,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07348v4_Controlled Self-Evolution for Algorithmic Code Opt.pdf,151.54,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07351v2_Beyond Hard Masks Progressive Token Evolution for .pdf,112.71,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07356v1_Efficient Convolutional Forward Model for Passive .pdf,144.44,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07359v1_Seeing Right but Saying Wrong Inter- and Intra-Lay.pdf,99.82,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07364v1_On the universal definition of intelligence.pdf,134.54,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07372v1_Conditional Memory via Scalable Lookup A New Axis .pdf,118.4,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07376v1_OpenTinker Separating Concerns in Agentic Reinforc.pdf,73.5,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07377v1_Learning Dynamic Collaborative Network for Semi-su.pdf,131.38,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07389v1_On the Non-decoupling of Supervised Fine-tuning an.pdf,127.7,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07392v1_OceanSAR-2 A Universal Feature Extractor for SAR O.pdf,141.17,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07393v1_Software-Hardware Co-optimization for Modular E2E .pdf,166.0,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07395v1_MCP-ITP An Automated Framework for Implicit Tool P.pdf,155.09,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07397v1_Layerwise goal-oriented adaptivity for neural ODEs.pdf,113.71,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07411v1_SCALPEL Selective Capability Ablation via Low-rank.pdf,160.83,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07422v1_Two Pathways to Truthfulness On the Intrinsic Enco.pdf,122.07,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07430v1_KALE Enhancing Knowledge Manipulation in Large Lan.pdf,123.31,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07449v1_RLPO Residual Listwise Preference Optimization for.pdf,105.49,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07463v1_Puzzle it Out Local-to-Global World Model for Offl.pdf,150.58,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07464v1_IFDNS An Iterative Feedback-Driven Neuro-Symbolic .pdf,94.41,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07468v1_Beyond Dialogue Time Temporal Semantic Memory for .pdf,115.95,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07469v1_Knowledge Distillation for LLM-Based Human Activit.pdf,64.2,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07470v1_Learning How to Remember A Meta-Cognitive Manageme.pdf,90.22,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07474v1_Task Prototype-Based Knowledge Retrieval for Multi.pdf,131.84,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07475v1_ARCQuant Boosting NVFP4 Quantization with Augmente.pdf,136.59,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07477v1_JudgeFlow Agentic Workflow Optimization via Block .pdf,119.58,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07496v1_Graph Inference Towards ICD Coding.pdf,96.11,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07514v1_Data-Driven Stochastic VRP Integration of Forecast.pdf,84.97,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07516v1_Controlling Multimodal Conversational Agents with .pdf,116.45,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07518v1_Mon3tr Monocular 3D Telepresence with Pre-built Ga.pdf,149.58,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07525v1_Thinking Before Constraining A Unified Decoding Fr.pdf,128.33,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07528v1_From RAG to Agentic RAG for Faithful Islamic Quest.pdf,127.99,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07553v1_VirtualEnv A Platform for Embodied AI Research.pdf,113.19,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07556v1_Backpropagation-Free Test-Time Adaptation for Ligh.pdf,116.23,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07565v1_A Unified Framework for Emotion Recognition and Se.pdf,115.74,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07568v1_d3LLM Ultra-Fast Diffusion LLM using Pseudo-Trajec.pdf,115.06,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07573v1_A Model of Artificial Jagged Intelligence.pdf,72.36,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07577v1_Beyond Entangled Planning Task-Decoupled Planning .pdf,115.18,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07580v1_Large Language Models for Physics Instrument Desig.pdf,104.52,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07582v2_ES-Mem Event Segmentation-Based Memory for Long-Te.pdf,139.32,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07597v1_Pheromone-Focused Ant Colony Optimization algorith.pdf,126.9,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07606v1_Proof of Time A Benchmark for Evaluating Scientifi.pdf,129.77,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07611v1_DIAGPaper Diagnosing Valid and Specific Weaknesses.pdf,100.9,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07618v1_Neural Architecture for Fast and Reliable Coagulat.pdf,92.42,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07632v2_GeoMotionGPT Geometry-Aligned Motion Understanding.pdf,164.73,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07635v2_Learning About Learning A Physics Path from Spin G.pdf,78.77,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07638v1_SALT-KG A Benchmark for Semantics-Aware Learning o.pdf,152.26,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07641v1_Beyond Static Tools Test-Time Tool Evolution for S.pdf,133.19,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07651v1_Active Evaluation of General Agents Problem Defini.pdf,143.28,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07654v1_Towards Automating Blockchain Consensus Verificati.pdf,101.55,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07663v2_Reasoning Models Will Blatantly Lie About Their Re.pdf,108.89,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07666v1_Variational Contrastive Learning for Skeleton-base.pdf,107.69,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07667v1_Adaptive Layer Selection for Layer-Wise Token Prun.pdf,148.51,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07685v1_Predictive Analytics for Dementia Machine Learning.pdf,113.17,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07701v1_Deep Whole-body Parkour.pdf,94.36,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07718v1_Hiking in the Wild A Scalable Perceptive Parkour F.pdf,149.3,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07737v1_Evaluating the encoding competence of visual langu.pdf,60.75,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07748v1_Improving Domain Generalization in Contrastive Lea.pdf,141.19,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07778v1_DT-ICU Towards Explainable Digital Twins for ICU P.pdf,81.81,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07779v1_OS-Symphony A Holistic Framework for Robust and Ge.pdf,166.7,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07782v1_Beyond Single-Shot Multi-step Tool Retrieval via Q.pdf,120.92,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07790v1_Benchmarking Small Language Models and Small Reaso.pdf,176.23,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07794v1_Kinship Data Benchmark for Multi-hop Reasoning.pdf,63.54,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07821v1_Failure-Aware RL Reliable Offline-to-Online Reinfo.pdf,87.13,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07832v2_MHLA Restoring Expressivity of Linear Attention vi.pdf,102.26,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07885v1_Small Symbols Big Risks Exploring Emoticon Semanti.pdf,154.63,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07891v1_KVzap Fast Adaptive and Faithful KV Cache Pruning.pdf,124.7,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07892v1_Sherry Hardware-Efficient 1.25-Bit Ternary Quantiz.pdf,148.21,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07894v1_Revealing the Attention Floating Mechanism in Mask.pdf,131.03,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07898v1_Large Language Models and Algorithm Execution Appl.pdf,109.98,LFM-2.5,Windows RTX 4080 (Fair-Cold)
2601.07901v1_Decentralized Online Convex Optimization with Unkn.pdf,135.2,LFM-2.5,Windows RTX 4080 (Fair-Cold)
