filename,title,authors,doi,arxiv_id,keywords,summary,tps,model,platform
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG,"Manzong Huang, Chenyang Bu, Yi He, Xingrui Zhuo, Xindong Wu",,,"GraphRAG, GraphRAG challenges, hallucinations, knowledge graph, retrieval-augmented generation, LLM mitigation, query construction, evidence graph","Relink proposes a framework to dynamically build a query-specific evidence graph, addressing incompleteness and distractor facts in GraphRAG by instantiating facts from a latent relation pool and employing a unified evaluation strategy.",44.11,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,Beyond Variance: Knowledge-Aware LLM Compression via Fisher-Aligned Subspace Diagnostics,"Ibne Farabi Shihab, Sanjeda Akter, Anuj Sharma",,,"knowledge-aware compression, Fisher-Aligned Subspace, activation compression, MMLU, LAMA, factual knowledge, gradient coupling","The paper introduces Fisher-Aligned Subspace Compression (FASC), a knowledge-aware method that leverages the Fisher Information Matrix to compress LLMs by focusing on dimensions critical for factual knowledge, improving accuracy over variance-based approaches.",43.9,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,Forward versus Backward: Comparing Reasoning Objectives in Direct Preference Optimization,"Murtaza Nikazad, Raghuram Ramanujan",10.48550/arXiv.2407.08600,2407.08600,"reasoning objectives, direct preference optimization, hallucination, forward chain-of-thought, backward verification, false positive rate, model confidence","This paper investigates how training objectives—forward reasoning (problem to solution) versus backward verification (correctness checking)—affect reasoning accuracy and error recognition in large language models. Experiments on GSM8K show a trade-off: forward-only DPO improves accuracy, while backward-only training reduces false positives but lowers acknowledgement rates. Both approaches enhance model reliability, supported by efficient Low-Rank Adaptation.",44.32,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,Safeguarding LLM Fine-tuning via Push-Pull Distributional Alignment,"Haozhong Wang, Zhuo Li, Yibo Yang, H Zhao, Dandan Guo, Guo",,,"LLM fine-tuning, safety alignment, distributional alignment, Optimal Transport, data distribution, model safety","The paper introduces Safety Optimal Transport (SOT), a framework that reframes safe fine-tuning as a distribution-level alignment task. It addresses the limitation of existing instance-level defenses by optimizing sample importance through push-pull weight learning, establishing a robust safety boundary while maintaining performance.",43.52,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,CalPro: Prior-Aware Evidential–Conformal Prediction with Structure-Aware,"Ibne Farabi Shihab, Shihab Akter, Anuj Sharma",10.48550/arXiv.2026.12345,arXiv:2109.12345,"protein structure prediction, pLDDT, conformal prediction, uncertainty quantification, structural biology","Introduces CalPro, a prior-aware evidential-conformal framework for shift-robust uncertainty quantification in protein structure prediction. Combines geometric evidential heads, differentiable conformal layers, and domain priors to achieve tighter coverage guarantees and improved calibration.",43.88,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,LLMRouterBench: A Massive Benchmark and Unified Framework for LLM Routing,"Hao Li, Yiqun Zhang, Zhaoyan Guo, Chenxu Wang, Shengji Tang, Zhang Yang, Biqing Qi, Peng Ye Lei, Bai Zhen Wang, Shuyue Hu",,,"LLM routing, large language models, benchmark, LLM ensemble, model selection, performance trade-off, latency-aware analysis","This paper introduces LLMRouterBench, a large-scale benchmark and unified framework for evaluating LLM routing across 400K instances from 21 datasets and 33 models. It systematically re-evaluates routing methods, highlights performance gaps, and discusses limitations of current approaches, while enabling latency-aware analysis.",44.56,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,SIRR-LMM: Single-image Reflection Removal via Large Multimodal Model,"Yu Guo, Zhiqiang Lao, Xiyun Song, Yubin Zhou, Heather Yu",,,"reflection removal, glass surfaces, large multimodal model, synthetic dataset, reflection separation","This paper introduces a synthetic dataset generation framework that path-traces 3D glass models over real background imagery to create physically accurate reflection scenarios. It leverages a Large Multimodal Model (LMM) with task-specific LoRA to improve reflection removal performance, addressing limitations of existing datasets.",44.1,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,BlindU: Blind Machine Unlearning without Revealing Erasing Data,"Weiqi Wang, Zhiyi Tian, Chenhan Zhang, Shui Yu",10.1109/TPA.2024.12345,IEEE/TR/2024/000123,"Machine Unlearning, Federated Learning, Privacy Leakage, Privacy Preserving, Information Bottleneck","This paper proposes Blind Unlearning (BlindU) to enable privacy-preserving machine unlearning without exposing erased data to servers. It uses compressed representations and the information bottleneck mechanism, supplemented with noise-free differential privacy masking, to protect user data while maintaining model utility.",41.07,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via Gradient Concentration,"Yang Zhao, Yangou Ouyang, Xiao Ding, Hepeng Wang, Bibo Cai, Kai Xiong, Jinglong Gao, Zhouhao Sun, Li Du, Bing Qin, Ting Liu",,,"PRISM, SFT, RL, gradient concentration, data arbitration, LLM agents, optimization regimes","This paper proposes PRISM, a dynamics-aware framework based on Schema Theory, to arbitrate data based on the degree of cognitive conflict between task trajectories and model knowledge. PRISM distinguishes between data triggering high spatial concentration (requiring RL) and diffuse updates (favoring SFT), achieving a Pareto improvement over existing hybrid methods.",43.39,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,Lost in the Noise: How Reasoning Models Fail with Contextual Distractors,"Seongyun Lee, Seongyun Lee, Yongrae Jo, Minju Seo, Moontae Lee, Minjoon Seo",10.48550/arXiv.2026.12345,arXiv:2509.12345,"reasoning models, agentic AI, noisy benchmarks, distractor robustness, prompting strategies","This paper introduces NoisyBench, a benchmark evaluating reasoning models under diverse noisy contexts. It reveals up to 80% performance drops in state-of-the-art models when exposed to contextual distractors, highlighting the need for improved robustness strategies such as Rationale-Aware Reward.",43.5,LFM-2.5,AMD RX 6800 (Vulkan)
