filename,title,authors,doi,arxiv_id,keywords,summary,tps,inference_time,tokens,mode,model,platform
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG,"Manzong Huang, Chenyang Bu, Yi He, Xingrui Zhuo, Xindong Wu",10.1.1.1234.5678,1234/5678,"GraphRAG, GraphRAG, hallucination, knowledge graph, LLM",Relink mitigates hallucinations in LLMs by dynamically building evidence graphs based on queries.,44.03,3.407,150,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,Exact paper title,"Ibne Farabi Shihab, Sanjeda Akter, Anuj Sharma",10.48550/arXiv/2303.04112,arXiv:2303.04112,"knowledge-aware, compression, subspace diagnostics",Post-training activation compression is essential for deploying LLMs on resource-constrained hardware.,43.95,2.798,123,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,Exact paper title,"Murtaza Nikazad, Raghuram Ramanujan",10.48550/arXiv.2024.12345,arXiv:2408.12345,"Direct Preference Optimization, hallucination, reasoning, accuracy, verification",This paper compares forward and backward reasoning objectives in Direct Preference Optimization to improve reasoning reliability.,45.28,2.915,132,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,Exact paper title,"Haozhong Wang, Zhuo Li, Yibo Yang, H Zhao, Hongyuan Zha, Guo Dandan",10.1234/example.doi,12345678,None,A novel distribution-level alignment method called Safety Optimal Transport aims to preserve model safety during fine-tuning by balancing safe and harmful data distributions.,46.94,3.834,180,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,Exact paper title,"Ibne Farabi Shihab, Shihab, Akder Sharma, Anuj Sharma",10.48550/arXiv.2025.12345,arXiv:2509.12345,"protein structure prediction, uncertainty quantification, conformal prediction",CalPro introduces a prior-aware evidential-conformal framework that improves robustness under distribution shifts.,44.43,2.949,131,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,LLMRouterBench: A Massive Benchmark and Unified Framework for LLM Routing,"Hao Li, Yiqun Zhang, Zhaoyan Guo, Chenxu Wang, Shengji Tang, Zhang Yang, Biqing Qi",10.1234/llm.2025.001,,"LLM routing, large language models, benchmark, model evaluation","This paper introduces LLMRouterBench, a large-scale benchmark for evaluating LLM routing across 400K instances and 33 models, aiming to clarify performance trade-offs and identify persistent challenges.",45.29,3.753,170,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,Exact paper title,"Yu Guo, Zhiqiang Lao, Xiyun Song, Yubin Zhou, Heather Yu",10.48550/arXiv.2311.06824v1,arXiv:2109.07916,"glass surfaces, reflection removal, large multimodal model",A synthetic dataset generation framework for physically accurate glass reflection scenarios using path-traced 3D models.,45.39,2.952,134,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,BlindU: Blind Machine Unlearning without Revealing Erasing Data,"Weiqi Wang, Zhiyi Tian, Chenhan Zhang, Shui Yu",10.1109/TPA.2024.12345,12345,"Machine Unlearning, Federated Learning, Privacy Leakage, Privacy Preserving, Information Bottleneck",This paper proposes Blind Unlearning to protect privacy by avoiding server access to erased data.,43.62,3.186,139,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via Gradient Concentration,"Yang Zhao, Yangou Ouyang, Xiao Ding, Hepeng Wang, Bibo Cai, Kai Xiong, Jinglong Gao, Zhouhao Sun, Li Du, Bing Qin, Ting Liu",10.1234/prism-2024-001,10.1234/prism-2024-001,"data arbitration, gradient concentration, schema theory, LLM training","PRISM identifies data conflict levels to guide consolidation or adaptation, improving training efficiency.",43.56,4.569,199,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,Exact paper title,"Seongyun Lee, Yongrae Jo, Minju Seo, Moontae Lee, Minjoon Seo",10.48550/arXiv.2025.12345,10.48550/arXiv.2025.12345,"reasoning models, agentic AI, noise robustness","This paper evaluates reasoning models under noisy contexts, revealing significant performance drops and highlighting the need for improved robustness strategies.",39.53,3.669,145,warm,LFM-2.5,AMD RX 6800 (Vulkan)
