filename,title,authors,doi,arxiv_id,keywords,summary,tps,model,platform
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,Relink: Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG,"['Manzong Huang', 'Chenyang Bu', 'Yi He', 'Xingrui Zhuo', 'Xindong Wu']",,,"['GraphRAG', 'Knowledge Graph', 'Retrieval-Augmented Generation', 'Large Language Models', 'Open-Domain Question Answering', 'Evidence Graph', 'Latent Relations']","Relink proposes a dynamic framework for constructing query-specific evidence graphs to address the limitations of static Knowledge Graphs in GraphRAG, improving accuracy in open-domain question answering.",43.02,Phi-4,Windows RTX 4080 (Native CUDA)
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,Beyond Variance: Knowledge-Aware LLM Compression via Fisher-Aligned Subspace Diagnostics,"['Ibne Farabi Shihab', 'Sanjeda Akter', 'Anuj Sharma']",,,"['Large Language Models', 'LLM Compression', 'Singular Value Decomposition', 'Fisher Information Matrix', 'Activation-Gradient Coupling', 'Knowledge Preservation', 'Transformer Architectures', 'MMLU', 'LAMA']","The paper introduces Fisher-Aligned Subspace Compression (FASC), a knowledge-aware compression framework for LLMs that preserves factual knowledge by leveraging the Fisher Information Matrix to identify critical dimensions, outperforming variance-based methods in accuracy retention.",43.28,Phi-4,Windows RTX 4080 (Native CUDA)
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,Forward versus Backward: Comparing Reasoning Objectives in Direct Preference Optimization,"['Murtaza Nikazad', 'Raghuram Ramanujan']",,,"['reasoning capabilities', 'hallucination', 'Direct Preference Optimization', 'forward chain-of-thought generation', 'backward verification', 'GSM8K', 'accuracy improvement', 'false positive rate', 'acknowledgement rate', 'Low-Rank Adaptation']","This paper investigates the effects of forward and backward reasoning training objectives on the reasoning reliability of large language models, revealing distinct and complementary learning signals for problem-solving and verification calibration.",43.55,Phi-4,Windows RTX 4080 (Native CUDA)
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,Safeguarding LLM Fine-tuning via Push-Pull Distributional Alignment,"['Haozhong Wang', 'Zhuo Li', 'Yibo Yang', 'He Zhao', 'Hongyuan Zha', 'Dandan Guo']",,,"['Large Language Models', 'fine-tuning', 'safety alignment', 'Optimal Transport', 'data distribution', 'model safety']","The paper introduces Safety Optimal Transport (SOT) to enhance LLM fine-tuning safety by aligning data distributions using a push-pull mechanism, improving safety-utility trade-off.",43.24,Phi-4,Windows RTX 4080 (Native CUDA)
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,CalPro: Prior-Aware Evidential–Conformal Prediction with Structure-Aware Guarantees for Protein Structures,"['Ibne Farabi Shihab', 'Sanjeda Akter', 'Anuj Sharma']",,,"['protein structure prediction', 'uncertainty quantification', 'conformal prediction', 'evidential learning', 'distribution shift', 'calibration', 'deep learning', 'structure-aware guarantees']","CalPro introduces a prior-aware evidential–conformal framework for robust uncertainty quantification in protein structure prediction, achieving improved calibration and coverage under distribution shifts.",43.35,Phi-4,Windows RTX 4080 (Native CUDA)
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,LLMRouterBench: A Massive Benchmark and Unified Framework for LLM Routing,"['Hao Li', 'Yiqun Zhang', 'Zhaoyan Guo', 'Chenxu Wang', 'Shengji Tang', 'Qiaosheng Zhang', 'Yang Chen', 'Biqing Qi', 'Peng Ye', 'Lei Bai', 'Zhen Wang', 'Shuyue Hu']",,,"['LLM routing', 'benchmark', 'framework', 'performance', 'cost trade-off', 'model ensemble', 'evaluation', 'routing methods', 'model complementarity', 'Oracle', 'model recall', 'embedding models', 'model curation', 'latency-aware analysis']","LLMRouterBench is a large-scale benchmark and unified framework for LLM routing, providing comprehensive metrics and integrating 10 routing baselines to systematically re-evaluate the field.",43.25,Phi-4,Windows RTX 4080 (Native CUDA)
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,SIRR-LMM: Single-image Reflection Removal via Large Multimodal Model,"['Yu Guo', 'Zhiqiang Lao', 'Xiyun Song', 'Yubin Zhou', 'Heather Yu']",,,"['Single-image Reflection Removal', 'Large Multimodal Model', 'Synthetic Dataset', 'Path-tracing', '3D Glass Models', 'LoRA', 'Deep Learning']","The paper introduces a synthetic dataset generation framework for single-image reflection removal using a Large Multimodal Model, achieving improved performance over existing methods.",43.63,Phi-4,Windows RTX 4080 (Native CUDA)
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,BlindU: Blind Machine Unlearning without Revealing Erasing Data,"['Weiqi Wang', 'Zhiyi Tian', 'Chenhan Zhang', 'Shui Yu']",,,"['Machine Unlearning', 'Federated Learning', 'Privacy Leakage', 'Privacy Preserving', 'Information Bottleneck']","BlindU enables machine unlearning without revealing erasing data to the server, using compressed representations and a noise-free differential privacy method to enhance privacy protection.",43.24,Phi-4,Windows RTX 4080 (Native CUDA)
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via Gradient Concentration,"['Yang Zhao', 'Yangou Ouyang', 'Xiao Ding', 'Hepeng Wang', 'Bibo Cai', 'Kai Xiong', 'Jinglong Gao', 'Zhouhao Sun', 'Li Du', 'Bing Qin', 'Ting Liu']",,,"['Hybrid Supervised Fine-Tuning', 'Reinforcement Learning', 'Gradient Concentration', 'Schema Theory', 'Data Arbitration', 'Large Language Models', 'Agent Alignment']","PRISM is a framework that disentangles data for SFT and RL based on gradient concentration, improving alignment efficiency and reducing computational costs.",43.0,Phi-4,Windows RTX 4080 (Native CUDA)
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,Lost in the Noise: How Reasoning Models Fail with Contextual Distractors,"['Seongyun Lee', 'Yongrae Jo', 'Minju Seo', 'Moontae Lee', 'Minjoon Seo']",,,"['reasoning models', 'contextual distractors', 'NoisyBench', 'robustness', 'RAG', 'tool-use tasks', 'Rationale-Aware Reward (RARE)', 'agentic AI systems']","The paper introduces NoisyBench, a benchmark evaluating model robustness against contextual distractors, revealing significant performance drops in state-of-the-art models and proposing Rationale-Aware Reward (RARE) to enhance resilience.",43.02,Phi-4,Windows RTX 4080 (Native CUDA)
