filename,title,authors,doi,arxiv_id,keywords,summary,tps,model,platform
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,Relink: Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG,"Manzong Huang, Chenyang Bu, Yi He, Xingrui Zhuo, Xindong Wu",,,"Graph-based Retrieval-Augmented Generation, GraphRAG, Knowledge Graph, Large Language Models, Open-Domain Question Answering","Relink proposes a dynamic framework for constructing query-specific evidence graphs to address the limitations of static Knowledge Graphs in GraphRAG, achieving significant improvements in accuracy.",2.56,Phi-4,Apple M1 (Metal)
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,Beyond Variance: Knowledge-Aware LLM Compression via Fisher-Aligned Subspace Diagnostics,"Ibne Farabi Shihab, Sanjeda Akter, Anuj Sharma",,,"LLM Compression, Fisher Information Matrix, Activation Compression, SVD, Knowledge Preservation, Transformer Architectures","FASC, a knowledge-aware compression framework, preserves factual knowledge in LLMs by selecting subspaces based on activation-gradient coupling, outperforming variance-based methods in accuracy retention.",3.01,Phi-4,Apple M1 (Metal)
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,Forward versus Backward: Comparing Reasoning Objectives in Direct Preference Optimization,"Murtaza Nikazad, Raghuram Ramanujan",,,"reasoning capabilities, hallucination, Direct Preference Optimization, chain-of-thought generation, verification, GSM8K, Low-Rank Adaptation","This paper investigates the effect of training objective composition on reasoning reliability through Direct Preference Optimization, comparing forward chain-of-thought generation and backward verification, revealing distinct and complementary learning signals.",3.28,Phi-4,Apple M1 (Metal)
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,Safeguarding LLM Fine-tuning via Push-Pull Distributional Alignment,"Haozhong Wang, Zhuo Li, Yibo Yang, He Zhao, Hongyuan Zha, Dandan Guo",,,"LLM, fine-tuning, safety alignment, Optimal Transport, data distribution, model safety","This paper introduces Safety Optimal Transport (SOT) to enhance model safety during LLM fine-tuning by aligning data distributions, effectively purifying training data and maintaining performance.",2.96,Phi-4,Apple M1 (Metal)
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,CalPro: Prior-Aware Evidential–Conformal Prediction with Structure-Aware Guarantees for Protein Structures,"Ibne Farabi Shihab, Sanjeda Akter, Anuj Sharma",,,"protein structure prediction, uncertainty quantification, conformal prediction, evidential learning, distribution shift, calibration","CalPro introduces a prior-aware evidential–conformal framework for robust uncertainty quantification in protein structure prediction, achieving improved calibration and coverage under distribution shifts.",2.65,Phi-4,Apple M1 (Metal)
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,LLMRouterBench: A Massive Benchmark and Unified Framework for LLM Routing,"Hao Li, Yiqun Zhang, Zhaoyan Guo, Chenxu Wang, Shengji Tang, Qiaosheng Zhang, Yang Chen, Biqing Qi, Peng Ye, Lei Bai, Zhen Wang, Shuyue Hu",,,"Large Language Models, LLM Routing, Benchmark, Performance-Cost Trade-off, Model Ensemble","LLMRouterBench is a large-scale benchmark and unified framework for LLM routing, comprising over 400K instances from 21 datasets and 33 models, providing comprehensive metrics for performance-oriented and performance-cost trade-off routing.",3.06,Phi-4,Apple M1 (Metal)
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,SIRR-LMM: Single-image Reflection Removal via Large Multimodal Model,"Yu Guo, Zhiqiang Lao, Xiyun Song, Yubin Zhou, Heather Yu",,,"Single-image Reflection Removal, Large Multimodal Model, Synthetic Dataset, Path-tracing, LoRA","This paper introduces a synthetic dataset generation framework for single-image reflection removal using a Large Multimodal Model, achieving improved performance over state-of-the-art methods.",2.94,Phi-4,Apple M1 (Metal)
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,BlindU: Blind Machine Unlearning without Revealing Erasing Data,"Weiqi Wang, Zhiyi Tian, Chenhan Zhang, Shui Yu",,,"Machine Unlearning, Federated Learning, Privacy Leakage, Privacy Preserving, Information Bottleneck","This paper proposes Blind Unlearning (BlindU) to enable machine unlearning without revealing erasing data to the server, using compressed representations and a noise-free differential privacy masking method.",2.8,Phi-4,Apple M1 (Metal)
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via Gradient Concentration,"Yang Zhao, Yangou Ouyang, Xiao Ding, Hepeng Wang, Bibo Cai, Kai Xiong, Jinglong Gao, Zhouhao Sun, Li Du, Bing Qin, Ting Liu",,,"Hybrid Supervised Fine-Tuning, Reinforcement Learning, LLM agents, data arbitration, Schema Theory, gradient concentration, structural adaptation, pattern consolidation","PRISM is a framework that arbitrates data for SFT and RL based on cognitive conflict, improving alignment efficiency and reducing computational costs.",3.25,Phi-4,Apple M1 (Metal)
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,Lost in the Noise: How Reasoning Models Fail with Contextual Distractors,"Seongyun Lee, Yongrae Jo, Minju Seo, Moontae Lee, Minjoon Seo",,,"reasoning models, contextual distractors, NoisyBench, robustness, RAG, tool-use tasks, agentic AI systems, Rationale-Aware Reward (RARE)","The paper introduces NoisyBench, a benchmark evaluating model robustness against diverse noise types, revealing significant performance drops in state-of-the-art models due to contextual distractors.",3.14,Phi-4,Apple M1 (Metal)
