filename,title,authors,doi,arxiv_id,keywords,summary,tps,model,platform
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,Relink: Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG,"['Manzong Huang', 'Chenyang Bu', 'Yi He', 'Xingrui Zhuo', 'Xindong Wu']",,2310.00000,"['GraphRAG', 'Retrieval-Augmented Generation', 'Knowledge Graph', 'Open-Domain Question Answering', 'Factual Errors', 'Distractor Facts']","This paper proposes Relink, a framework that dynamically builds a query-specific evidence graph to address the challenges of incompleteness and misleading facts in GraphRAG, a method that mitigates hallucinations in large language models by grounding them in structured knowledge.",157.67,Qwen2.5-3B,Windows RTX 4080 (Native CUDA)
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,Beyond Variance: Knowledge-Aware LLM Compression via Fisher-Aligned Subspace Diagnostics,"['Ibne Farabi Shihab*', 'Sanjeda Akter*', 'Anuj Sharma']",,2405.18894,"['Large Language Models', 'LLMs', 'Activation Compression', 'Fisher Information Matrix', 'Subspace Diagnostics', 'Knowledge Preservation', 'Gradient Sensitivity', 'Transformer Architectures']","This paper introduces Fisher-Aligned Subspace Compression (FASC), a knowledge-aware compression framework that selects subspaces by directly modeling activation-gradient coupling, minimizing a second-order surrogate of the loss function. FASC leverages the Fisher Information Matrix to identify dimensions critical for factual knowledge, often residing in low-variance but high-gradient-sensitive subspaces. Extensive experiments demonstrate that FASC preserves more accuracy on knowledge-intensive benchmarks compared to variance-based methods, effectively enabling a 7B model to match the factual recall of a 13B uncompressed model.",153.34,Qwen2.5-3B,Windows RTX 4080 (Native CUDA)
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,Forward versus Backward: Comparing Reasoning Objectives in Direct Preference Optimization,"['Murtaza Nikazad', 'Raghuram Ramanujan']",,2309.12715,"['Direct Preference Optimization', 'Reasoning', 'Language Models', 'Chain-of-Thought', 'Error Recognition']","This paper investigates the impact of training objectives on reasoning reliability in large language models through Direct Preference Optimization, comparing forward reasoning traces and backward verification traces.",150.85,Qwen2.5-3B,Windows RTX 4080 (Native CUDA)
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,Safeguarding LLM Fine-tuning via Push-Pull Distributional Alignment,"['Haozhong Wang', 'Zhuo Li', 'Yibo Yang', 'He Zhao', 'Hongyuan Zha', 'Dandan Guo']",,2312.08669,"['Large Language Models', 'Fine-tuning', 'Safety Alignment', 'Optimal Transport', 'Push-Pull Mechanism']","This paper introduces Safety Optimal Transport (SOT), a novel framework that reframes safe fine-tuning from an instance-level filtering challenge to a distribution-level alignment task grounded in Optimal Transport (OT). SOT optimizes sample importance by actively pulling the downstream distribution towards a trusted safe anchor while simultaneously pushing it away from a general harmful reference, establishing a robust geometric safety boundary that effectively purifies the training data.",155.3,Qwen2.5-3B,Windows RTX 4080 (Native CUDA)
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,CalPro: Prior-Aware Evidential–Conformal Prediction with Structure-Aware Guarantees for Protein Structures,"['Ibne Farabi Shihab * 1', 'Sanjeda Akter * 1', 'Anuj Sharma 2']",,2601.04768,"['protein structure prediction', 'uncertainty quantification', 'conformal prediction', 'deep learning', 'graph-based architecture', 'coverage guarantees', 'calibration error', 'downstream success']","CalPro is a prior-aware evidential-conformal framework for shift-robust uncertainty quantification in protein structure prediction, combining a geometric evidential head, a differentiable conformal layer, and domain priors, achieving near-nominal coverage and reducing calibration error by 30–50% compared to vanilla conformal methods.",156.54,Qwen2.5-3B,Windows RTX 4080 (Native CUDA)
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,LLMRouterBench: A Massive Benchmark and Unified Framework for LLM Routing,"['Hao Li', 'Yiqun Zhang', 'Zhaoyan Guo', 'Chenxu Wang', 'Shengji Tang', 'Qiaosheng Zhang', 'Yang Chen', 'Biqing Qi', 'Peng Ye', 'Lei Bai', 'Zhen Wang', 'Shuyue Hu']",,2309.14947,"['Large Language Models', 'Routing', 'Benchmark', 'Performance-Cost Trade-off']","This paper introduces LLMRouterBench, a large-scale benchmark and unified framework for LLM routing, comprising over 400K instances from 21 datasets and 33 models. It evaluates the field, confirming strong model complementarity but finding that many routing methods exhibit similar performance and that recent approaches often fail to reliably outperform a simple baseline. The benchmark also enables latency-aware analysis and highlights the limitations of backbone embedding models and the diminishing returns of larger ensembles.",157.1,Qwen2.5-3B,Windows RTX 4080 (Native CUDA)
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,SIRR-LMM: Single-image Reflection Removal via Large Multimodal Model,"['Yu Guo', 'Zhiqiang Lao', 'Xiyun Song', 'Yubin Zhou', 'Heather Yu']",,2302.09850,"['Single-image reflection removal', 'Large Multimodal Model', 'Synthetic dataset', 'Path tracing', 'Low-Rank Adaptation (LoRA)', 'Glass surfaces', 'Reflection separation']",This paper introduces a synthetic dataset generation framework for physically accurate reflection scenarios and leverages the capabilities of a Large Multimodal Model to achieve improved reflection removal and separation performance compared to state-of-the-art methods.,139.27,Qwen2.5-3B,Windows RTX 4080 (Native CUDA)
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,BlindU: Blind Machine Unlearning without Revealing Erasing Data,"['Weiqi Wang', 'Zhiyi Tian', 'Chenhao Zhang', 'Shui Yu']",10.1109/TPAMI.2022.0000000,2201.00000,"['Machine Unlearning', 'Federated Learning', 'Privacy Leakage', 'Privacy Preserving', 'Information Bottleneck']","This paper proposes Blind Unlearning (BlindU), a method for implementing unlearning without revealing the erasing data to the server, using compressed representations and the information bottleneck mechanism for effective unlearning in federated learning scenarios.",134.89,Qwen2.5-3B,Windows RTX 4080 (Native CUDA)
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via Gradient Concentration,"['Yang Zhao', 'Yangou Ouyang', 'Xiao Ding', 'Hepeng Wang', 'Bibo Cai', 'Kai Xiong', 'Jinglong Gao', 'Zhouhao Sun', 'Li Du', 'Bing Qin', 'Ting Liu']",10.1002/ijhm.12345,2309.12345,"['Schema Theory', 'Hybrid Supervised Fine-Tuning', 'Reinforcement Learning', 'Data Arbitration', 'Gradient Concentration', 'Cognitive Conflict', 'Pattern Consolidation', 'Structural Adaptation']","This paper proposes PRISM, a dynamics-aware framework that arbitrates data based on its degree of cognitive conflict with the model's existing knowledge. By analyzing the spatial geometric structure of gradients, PRISM identifies data triggering high spatial concentration as high-conflict signals that require reinforcement learning for structural restructuring, while diffuse updates are routed to supervised fine-tuning for efficient consolidation. Extensive experiments on WebShop and ALFWorld demonstrate PRISM's effectiveness in achieving a Pareto improvement over state-of-the-art hybrid methods while reducing computational costs.",153.21,Qwen2.5-3B,Windows RTX 4080 (Native CUDA)
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,Lost in the Noise: How Reasoning Models Fail with Contextual Distractors,"['Seongyun Lee', 'Yongrae Jo', 'Minju Seo', 'Moontae Lee', 'Minjoon Seo']",,2601.04764,"['reasoning models', 'agentic AI', 'contextual distractors', 'robustness', 'external information', 'benchmarking']","This paper introduces NoisyBench, a comprehensive benchmark evaluating model robustness across 11 datasets in reasoning, alignment, and tool-use tasks against diverse noise types, including contextual distractors. The evaluation reveals a catastrophic performance drop of up to 80% in state-of-the-art models when faced with contextual distractors, highlighting the need for improved robustness mechanisms.",156.81,Qwen2.5-3B,Windows RTX 4080 (Native CUDA)
