filename,title,authors,doi,arxiv_id,keywords,summary,tps,model,platform
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,Relink: Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG,"Manzong Huang, Chenyang Bu, Yi He, Xingrui Zhuo, Xindong Wu",Not found,Not found,"Graph-based Retrieval-Augmented Generation, Large Language Models, Knowledge Graph, Query-Driven Evidence Graph, Dynamic Construction","Graph-based Retrieval-Augmented Generation (GraphRAG) mitigates hallucinations in Large Language Models (LLMs) by grounding them in structured knowledge. However, current GraphRAG methods are constrained by a static, pre-constructed Knowledge Graph (KG) paradigm, which faces challenges of incomplete paths and misleading facts. Relink proposes a reason-and-construct paradigm and a framework that dynamically builds a query-specific evidence graph, instantiating required facts from a latent relation pool and employing a unified, query-aware evaluation strategy to handle incompleteness and misleading facts.",11.91,Qwen2.5-3B,Apple M1 (Metal)
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,Beyond Variance: Knowledge-Aware LLM Compression via Fisher-Aligned Subspace Diagnostics,"Ibne Farabi Shihab*, Sanjeda Akter*, Anuj Sharma",Not found,Not found,"Large Language Models, Knowledge Compression, Fisher Information Matrix, Transformer Architectures, Activation Gradient Coupling","Post-training activation compression is essential for deploying Large Language Models on resource-constrained hardware. Standard methods like Singular Value Decomposition (SVD) are gradient-blind, preserving high-variance dimensions regardless of their impact on factual knowledge preservation. Fisher-Aligned Subspace Compression (FASC) is introduced as a knowledge-aware framework that selects subspaces by directly modeling activation-gradient coupling, minimizing a second-order surrogate of the loss function. FASC leverages the Fisher Information Matrix to identify dimensions critical for factual knowledge, often residing in low-variance but high-gradient-sensitivity subspaces. The Dependence Violation Score (ρ) is proposed as a general-purpose diagnostic metric to quantify activation-gradient coupling, revealing where factual knowledge is stored within transformer architectures. Extensive experiments on Mistral-7B and Llama-3-8B demonstrate that FASC preserves 6-8% more accuracy on knowledge-intensive benchmarks (MMLU, LAMA) compared to variance-based methods at 50% rank reduction, effectively enabling a 7B model to match the factual recall of a 13B uncompressed model. Analysis reveals that ρ serves as a fundamental signal of stored knowledge, with high-ρ layers emerging only when models internalize factual associations during training.",12.97,Qwen2.5-3B,Apple M1 (Metal)
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,Forward versus Backward: Comparing Reasoning Objectives in Direct Preference Optimization,"Murtaza Nikazad, Raghuram Ramanujan",Not found,Not found,"Direct Preference Optimization, Reasoning, Model Confidence, Error Recognition","This paper investigates the effect of training objective composition on reasoning reliability through Direct Preference Optimization, comparing forward chain-of-thought generation and backward verification training signals.",11.81,Qwen2.5-3B,Apple M1 (Metal)
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,Safeguarding LLM Fine-tuning via Push-Pull Distributional Alignment,"Haozhong Wang, Zhuo Li, Yibo Yang, He Zhao, Hongyuan Zha, Dandan Guo",,,"Large Language Models, Fine-tuning, Safety Alignment, Optimal Transport, Push-Pull Mechanism, Data Distribution, Harmful Patterns","The paper introduces Safety Optimal Transport (SOT), a novel framework that reframes safe fine-tuning from an instance-level filtering challenge to a distribution-level alignment task grounded in Optimal Transport (OT). SOT optimizes sample importance by actively pulling the downstream distribution towards a trusted safe anchor while simultaneously pushing it away from a general harmful reference, establishing a robust geometric safety boundary that effectively purifies the training data. Extensive experiments demonstrate that SOT significantly enhances model safety while maintaining competitive downstream performance.",12.13,Qwen2.5-3B,Apple M1 (Metal)
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,CalPro: Prior-Aware Evidential–Conformal Prediction with Structure-Aware Guarantees for Protein Structures,"Ibne Farabi Shihab * 1, Sanjeda Akter * 1, Anuj Sharma 2",Not found,Not found,"protein structure prediction, uncertainty quantification, conformal prediction, geometric evidential, domain priors","Deep protein structure predictors like AlphaFold provide non-calibrated confidence estimates that degrade under distribution shifts. CalPro introduces a prior-aware evidential-conformal framework for robust uncertainty quantification, combining geometric evidential outputs, differentiable conformal layers, and domain priors. Theoretical guarantees and empirical results show improved coverage and calibration.",11.73,Qwen2.5-3B,Apple M1 (Metal)
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,LLMRouterBench: A Massive Benchmark and Unified Framework for LLM Routing,"Hao Li*, Yiqun Zhang*, Zhaoyan Guo*, Chenxu Wang*, Shengji Tang, Qiaosheng Zhang, Yang Chen, Biqing Qi, Peng Ye, Lei Bai, Zhen Wang†, Shuyue Hu†",Not found,Not found,"Large language models, routing, benchmark, performance-cost trade-off","LLMRouterBench is a large-scale benchmark and unified framework for LLM routing, comprising over 400K instances from 21 datasets and 33 models. It provides comprehensive metrics for both performance-oriented and performance-cost trade-off routing and integrates 10 representative routing baselines. The framework confirms strong model complementarity and finds that many routing methods exhibit similar performance under unified evaluation, with some recent approaches failing to reliably outperform a simple baseline. The benchmark also enables latency-aware analysis and highlights the limitations of backbone embedding models and the diminishing returns of larger ensembles compared to careful model curation.",12.35,Qwen2.5-3B,Apple M1 (Metal)
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,SIRR-LMM: Single-image Reflection Removal via Large Multimodal Model,"Yu Guo, Zhiqiang Lao, Xiyun Song, Yubin Zhou, Heather Yu",,,"reflection removal, single-image, large multimodal model, path tracing, 3D glass models, HDR environment maps","Introduces a synthetic dataset generation framework that path-traces 3D glass models over real background imagery to create physically accurate reflection scenarios. Combines image layers into a single composite input, applies joint captioning, and fine-tunes the model using task-specific LoRA rather than full-parameter training, achieving improved reflection removal and separation performance.",12.41,Qwen2.5-3B,Apple M1 (Metal)
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,BlindU: Blind Machine Unlearning without Revealing Erasing Data,"Weiqi Wang, Zhiyi Tian, Chenhao Zhang, Shui Yu",Not found,Not found,"Machine Unlearning, Federated Learning, Privacy Leakage, Privacy Preserving, Information Bottleneck","This paper explores how to implement unlearning under the condition of not uncovering the erasing data to the server. It proposes Blind Unlearning (BlindU), which carries out unlearning using compressed representations instead of original inputs. BlindU only involves the server and the unlearning user, allowing users to generate privacy-preserving representations locally and perform unlearning on these representations and their labels. The paper also introduces a noise-free differential privacy (DP) masking method to further enhance privacy protection.",12.4,Qwen2.5-3B,Apple M1 (Metal)
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via Gradient Concentration,"Yang Zhao, Yangou Ouyang, Xiao Ding, Hepeng Wang, Bibo Cai, Jinglong Gao, Zhouhao Sun, Li Du, Bing Qin, Ting Liu",Not provided,Not provided,"Schema Theory, Hybrid Supervised Fine-Tuning, Reinforcement Learning, Data Arbitration, Gradient Concentration, Pattern Consolidation, Structural Adaptation","PRISM is a dynamics-aware framework that arbitrates data based on its degree of cognitive conflict with the model's existing knowledge. By analyzing the spatial geometric structure of gradients, PRISM identifies data triggering high spatial concentration as high-conflict signals that require RL for structural restructuring. In contrast, data yielding diffuse updates is routed to SFT for efficient consolidation. Extensive experiments on WebShop and ALFWorld demonstrate that PRISM achieves a Pareto improvement, outperforming state-of-the-art hybrid methods while reducing computational costs by up to 3.22 ×. The findings suggest that disentangling data based on internal optimization regimes is crucial for scalable and robust agent alignment.",13.11,Qwen2.5-3B,Apple M1 (Metal)
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,Lost in the Noise: How Reasoning Models Fail with Contextual Distractors,"Seongyun Lee, Yongrae Jo, Minju Seo, Moontae Lee, Minjoon Seo",,,"reasoning models, agentic AI, external tools, contextual distractors, robustness, misalignment, distractor tokens","Recent advances in reasoning models and agentic AI systems have led to an increased reliance on diverse external information. However, this shift introduces input contexts that are inherently noisy, a reality that current benchmarks fail to capture. We introduce NoisyBench, a comprehensive benchmark that systematically evaluates model robustness across 11 datasets in RAG, reasoning, alignment, and tool-use tasks against diverse noise types, including random documents, irrelevant chat histories, and hard negative distractors. Our evaluation reveals a catastrophic performance drop of up to 80% in state-of-the-art models when faced with contextual distractors. Crucially, we find that agentic workflows often amplify these errors by over-trusting noisy tool outputs, and distractors can trigger emergent misalignment even without adversarial intent.",13.03,Qwen2.5-3B,Apple M1 (Metal)
