filename,title,authors,doi,arxiv_id,keywords,summary,tps,inference_time,tokens,mode,model,platform
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,Relink: Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG,"Manzong Huang1, Chenyang Bu1*, Yi He2, Xingrui Zhuo1, Xindong Wu 1*",None,arXiv:2601.07192v1,None,None,0.0,0.0,0,baseline,REGEX_SOTA,CPU
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,Beyond Variance: Knowledge-Aware LLM Compression via Fisher-Aligned,Subspace Diagnostics,None,arXiv:2601.07197v1,None,None,0.0,0.0,0,baseline,REGEX_SOTA,CPU
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,Forward versus Backward: Comparing Reasoning Objectives in,Direct Preference Optimization,None,arXiv:2601.07199v1,None,None,0.0,0.0,0,baseline,REGEX_SOTA,CPU
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,Safeguarding LLM Fine-tuning via Push-Pull Distributional Alignment,Haozhong Wang1*,None,arXiv:2601.07200v1,None,None,0.0,0.0,0,baseline,REGEX_SOTA,CPU
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,CalPro: Prior-Aware Evidential–Conformal Prediction with Structure-Aware,Guarantees for Protein Structures,None,arXiv:2601.07201v1,None,None,0.0,0.0,0,baseline,REGEX_SOTA,CPU
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,LLMRouterBench: A Massive Benchmark and Unified Framework for,LLM Routing,None,arXiv:2601.07206v1,None,None,0.0,0.0,0,baseline,REGEX_SOTA,CPU
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,SIRR-LMM: Single-image Reflection Removal via Large Multimodal Model,"Yu Guo, Zhiqiang Lao, Xiyun Song, Yubin Zhou and Heather Yu",None,arXiv:2601.07209v1,None,None,0.0,0.0,0,baseline,REGEX_SOTA,CPU
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,THIS PAPER HAS BEEN ACCEPTED FOR PUBLICATION IN IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,1,None,arXiv:2601.07214v1,None,None,0.0,0.0,0,baseline,REGEX_SOTA,CPU
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via,Gradient Concentration,None,arXiv:2601.07224v1,None,None,0.0,0.0,0,baseline,REGEX_SOTA,CPU
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,Lost in the Noise: How Reasoning Models Fail with,Contextual Distractors,None,arXiv:2601.07226v1,None,None,0.0,0.0,0,baseline,REGEX_SOTA,CPU
2601.07229v2_DiSCo Making Absence Visible in Intelligent Summar.pdf,DiSCo: Making Absence Visible in Intelligent Summarization Interfaces,"ERAN FAINMAN, University of Haifa, Israel",None,arXiv:2601.07229v2,None,None,0.0,0.0,0,baseline,REGEX_SOTA,CPU
