filename,platform,prompt_tokens,completion_tokens,total_time_sec,tokens_per_second,valid_json
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,AMD RX 6800 (Vulkan),1023,143,5.603301763534546,25.520667284175683,True
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,AMD RX 6800 (Vulkan),1033,121,4.730927467346191,25.5763802838167,True
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,AMD RX 6800 (Vulkan),729,111,4.078063011169434,27.218804539307357,True
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,AMD RX 6800 (Vulkan),1005,153,5.727728843688965,26.71215837470752,True
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,AMD RX 6800 (Vulkan),1010,178,6.677491664886475,26.656716164246415,True
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,AMD RX 6800 (Vulkan),1041,198,7.306615352630615,27.0987304578328,True
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,AMD RX 6800 (Vulkan),795,137,5.318657875061035,25.758378000282228,True
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,AMD RX 6800 (Vulkan),868,119,4.626688241958618,25.72034115478325,True
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,AMD RX 6800 (Vulkan),905,197,7.04602313041687,27.959033961948506,True
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,AMD RX 6800 (Vulkan),896,161,6.219101667404175,25.887983282833304,True
2601.07229v2_DiSCo Making Absence Visible in Intelligent Summar.pdf,AMD RX 6800 (Vulkan),778,193,7.257123947143555,26.59455748664261,True
2601.07232v1_Yes FLoReNce I Will Do Better Next Time Agentic Fe.pdf,AMD RX 6800 (Vulkan),988,140,5.603497266769409,24.984396946215405,True
2601.07233v1_From Thinking to Justifying Aligning High-Stakes E.pdf,AMD RX 6800 (Vulkan),1010,142,5.449958086013794,26.0552462530701,True
2601.07238v1_Group Pattern Selection Optimization Let LRMs Pick.pdf,AMD RX 6800 (Vulkan),905,140,5.2786900997161865,26.521731216524195,True
