title,authors,doi,arxiv_id,keywords,processing_time_ms,filename
Numina-Lean-Agent: An Open and General Agentic Reasoning System,"Wenda Li, Zekai Zhu *, Ran Wang 6, Marco Dos Santos 5 Weikun He 1",None,arXiv:2601.14027,,49.971580505371094,2601.14027v1_Numina-Lean-Agent An Open and General Agentic Reas.pdf
GUI-Eyes: Tool-Augmented Perception for Visual Grounding in GUI Agents,"Dakuan Lu2, Wu Liu1
1University, Hantao Yao1, Jiawei Shao2*",None,arXiv:2601.09770,,46.75889015197754,2601.09770v1_GUI-Eyes Tool-Augmented Perception for Visual Grou.pdf
Hierarchical Long Video Understanding with Audiovisual Entity Cohesion and,"Xinlei Yin1*, Agentic Search",None,arXiv:2601.13719,,44.3112850189209,2601.13719v1_Hierarchical Long Video Understanding with Audiovi.pdf
Reasoning Models Will Blatantly Lie About Their Reasoning,"Large Reasoning
Models, William Walden, Large Reasoning Mod-",None,arXiv:2601.07663,,82.75318145751953,2601.07663v2_Reasoning Models Will Blatantly Lie About Their Re.pdf
TopoDIM: One-shot Topology Generation of Diverse Interaction Modes for,"Linyuan Lü1∗
1University of",None,arXiv:2601.10120,,44.23856735229492,2601.10120v1_TopoDIM One-shot Topology Generation of Diverse In.pdf
Learning for Long-Horizon Multi-Goal Tasks in,"Yun Chen, Fan Guo, Kang Song
Abstract, Bowei Huang",None,arXiv:2601.07304,"Autonomous Forklift, Hierarchical
Reinforcement Learning, Mobile Manipulation, Hybrid Train-
ing, Modality Decoupling.
I.",46.007394790649414,2601.07304v1_Heterogeneous Multi-Expert Reinforcement Learning .pdf
"MedConsultBench: A Full-Cycle, Fine-Grained, Process-Aware Benchmark","Bing Cheng
Wei Lin
Kai Wu
Meituan, Ziding Liu, Jianghua Huang, Atomic Informa-",None,arXiv:2601.12661,,45.02391815185547,2601.12661v1_MedConsultBench A Full-Cycle Fine-Grained Process-.pdf
AviationLMM: A Large Multimodal Foundation,"Wenbin Li, Cong Chen, Jing Chen 
China, Xiaoyong Lin",None,None,,42.26517677307129,2601.09105v2_AviationLMM A Large Multimodal Foundation Model fo.pdf
RISER: Orchestrating Latent Reasoning Skills for Adaptive,"Pengpeng Zeng, Liang Peng
Tencent, Yi Bin, Heng Tao Shen",None,arXiv:2601.09269,,47.086238861083984,2601.09269v2_RISER Orchestrating Latent Reasoning Skills for Ad.pdf
AGENTICRED: Optimizing Agentic Systems for Automated Red-teaming,,None,arXiv:2601.13518,,47.28507995605469,2601.13518v1_AgenticRed Optimizing Agentic Systems for Automate.pdf
