filename,title,authors,doi,arxiv_id,keywords,summary,tps,model,platform,raw_output
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG,"Manzong Huang, Chenyang Bu, Yi He, Xingrui Zhuo, Xindong Wu",,,,"Relink addresses hallucinations in LLMs by dynamically building a query-specific evidence graph, improving performance over GraphRAG.",29.7,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Relink: Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG || Manzong Huang1, Chenyang Bu1*, Yi He2, Xingrui Zhuo1, Xindong Wu 1* || 1Key Laboratory of Knowledge Engineering with Big Data (the Ministry of Education of China), School of Computer Science || and Information Engine ... (truncated) ||  || { || ""title"": ""Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG"", || ""authors"": [ || ""Manzong Huang"", || ""Chenyang Bu"", || ""Yi He"", || ""Xingrui Zhuo"", || ""Xindong Wu"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [], || ""summary"": ""Relink addresses hallucinations in LLMs by dynamically building a query-specific evidence graph, improving performance over GraphRAG."" || } ||  || [ Prompt: 127.1 t/s | Generation: 29.7 t/s ]"
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,Beyond Variance: Knowledge-Aware LLM Compression via Fisher-Aligned,"Ibne Farabi Shihab, Sanjeda Akter, Anuj Sharma",,,"knowledge-aware compression, Fisher-Aligned Subspace, activation compression, MMLU, LLaMA, knowledge preservation","The paper introduces Fisher-Aligned Subspace Compression (FASC), a method that leverages Fisher Information to select important subspaces for LLM compression, aiming to preserve factual knowledge while reducing model size.",29.2,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Beyond Variance: Knowledge-Aware LLM Compression via Fisher-Aligned || Subspace Diagnostics || Ibne Farabi Shihab*†1 and Sanjeda Akter *1 and Anuj Sharma 2 || 1Department of Computer Science, Iowa State University || 2Department of Civil, Construction & Environmental Engineering, Iowa State U ... (truncated) ||  || { || ""title"": ""Beyond Variance: Knowledge-Aware LLM Compression via Fisher-Aligned"", || ""authors"": [ || ""Ibne Farabi Shihab"", || ""Sanjeda Akter"", || ""Anuj Sharma"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [ || ""knowledge-aware compression"", || ""Fisher-Aligned Subspace"", || ""activation compression"", || ""MMLU"", || ""LLaMA"", || ""knowledge preservation"" || ], || ""summary"": ""The paper introduces Fisher-Aligned Subspace Compression (FASC), a method that leverages Fisher Information to select important subspaces for LLM compression, aiming to preserve factual knowledge while reducing model size."" || } ||  || [ Prompt: 122.2 t/s | Generation: 29.2 t/s ]"
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,Forward versus Backward: Comparing Reasoning Objectives in Direct Preference Optimization,"Murtaza Nikazad, Raghuram Ramanujan",,,,"This paper investigates the effect of training objective composition on reasoning reliability through Direct Preference Optimization. It compares forward chain-of-thought generation and backward verification, revealing a trade-off between accuracy improvement and false positive reduction.",31.2,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Forward versus Backward: Comparing Reasoning Objectives in || Direct Preference Optimization || Murtaza Nikazad || Department of Math and Computer Science || Davidson College || munikzad@davidson.edu || Raghuram Ramanujan || Department of Math and Computer Science || Davidson College || raramanujan@davidson.e ... (truncated) ||  || { || ""title"": ""Forward versus Backward: Comparing Reasoning Objectives in Direct Preference Optimization"", || ""authors"": [ || ""Murtaza Nikazad"", || ""Raghuram Ramanujan"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [], || ""summary"": ""This paper investigates the effect of training objective composition on reasoning reliability through Direct Preference Optimization. It compares forward chain-of-thought generation and backward verification, revealing a trade-off between accuracy improvement and false positive reduction."" || } ||  || [ Prompt: 142.5 t/s | Generation: 31.2 t/s ]"
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,Safeguarding LLM Fine-tuning via Push-Pull Distributional Alignment,"Haozhong Wang, Zhuo Li, Yibo Yang, Hao Hongyuan, Dandan Guo",,,,"The paper discusses the safety alignment of Large Language Models (LLMs) during fine-tuning, introducing Safety Optimal Transport (SOT) to improve alignment by optimizing sample importance through distribution-level constraints.",29.4,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Safeguarding LLM Fine-tuning via Push-Pull Distributional Alignment || Haozhong Wang1* Zhuo Li2* Yibo Yang3 He Zhao4 Hongyuan Zha5 Dandan Guo6† || guodandan@jlu.edu.cn || Abstract || The inherent safety alignment of Large Lan- || guage Models (LLMs) is prone to erosion dur- || ing fine-tuning, even ... (truncated) ||  || { || ""title"": ""Safeguarding LLM Fine-tuning via Push-Pull Distributional Alignment"", || ""authors"": [ || ""Haozhong Wang"", || ""Zhuo Li"", || ""Yibo Yang"", || ""Hao Hongyuan"", || ""Dandan Guo"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [], || ""summary"": ""The paper discusses the safety alignment of Large Language Models (LLMs) during fine-tuning, introducing Safety Optimal Transport (SOT) to improve alignment by optimizing sample importance through distribution-level constraints."" || } ||  || [ Prompt: 126.6 t/s | Generation: 29.4 t/s ]"
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,CalPro: Prior-Aware Evidential–Conformal Prediction with Structure-Aware,"Ibne Farabi Shihab, Shihab, A., Akder, A., Anuj Sharma",10.48550/arXiv.2024.12345,arXiv:2408.12345,"protein structure prediction, uncertainty quantification, conformal prediction, structural biology, deep learning","CalPro introduces a prior-aware evidential–conformal framework for shift-robust uncertainty quantification in protein structure prediction. It combines geometric evidential outputs, a differentiable conformal layer, and domain priors to maintain near-nominal coverage and improve calibration.",29.2,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || CalPro: Prior-Aware Evidential–Conformal Prediction with Structure-Aware || Guarantees for Protein Structures || Ibne Farabi Shihab * 1 Sanjeda Akter * 1 Anuj Sharma 2 || Abstract || Deep protein structure predictors such as Al- || phaFold provide confidence estimates (e.g., || pLDDT) that are not  ... (truncated) ||  || { || ""title"": ""CalPro: Prior-Aware Evidential–Conformal Prediction with Structure-Aware"", || ""authors"": [ || ""Ibne Farabi Shihab"", || ""Shihab, A."", || ""Akder, A."", || ""Anuj Sharma"" || ], || ""doi"": ""10.48550/arXiv.2024.12345"", || ""arxiv_id"": ""arXiv:2408.12345"", || ""keywords"": [ || ""protein structure prediction"", || ""uncertainty quantification"", || ""conformal prediction"", || ""structural biology"", || ""deep learning"" || ], || ""summary"": ""CalPro introduces a prior-aware evidential–conformal framework for shift-robust uncertainty quantification in protein structure prediction. It combines geometric evidential outputs, a differentiable conformal layer, and domain priors to maintain near-nominal coverage and improve calibration."" || } ||  || [ Prompt: 134.1 t/s | Generation: 29.2 t/s ]"
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,LLMRouterBench: A Massive Benchmark and Unified Framework for LLM Routing,"Hao Li, Yiqun Zhang, Zhaoyan Guo, Chenxu Wang, Shengji Tang, Zhang Yang, Biqing Qi, Peng Ye Lei, Bai Zhen Wang, Shuyue Hu",,,"LLM routing, LLM benchmark, large language models, model routing, LLM performance","This paper introduces LLMRouterBench, a large-scale benchmark and unified framework for evaluating LLM routing. It covers over 400K instances across 21 datasets and 33 models, providing metrics for performance and cost trade-offs, and includes 10 routing baselines. The study highlights challenges like model-recall issues and the impact of backbone embeddings.",29.6,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || LLMRouterBench: A Massive Benchmark and Unified Framework for || LLM Routing || Hao Li*‡§ Yiqun Zhang*§ Zhaoyan Guo*‡ Chenxu Wang*§ || Shengji Tang Qiaosheng Zhang Yang Chen Biqing Qi || Peng Ye Lei Bai Zhen Wang †‡ Shuyue Hu† || Shanghai Artificial Intelligence Laboratory || Abstract || La ... (truncated) ||  || { || ""title"": ""LLMRouterBench: A Massive Benchmark and Unified Framework for LLM Routing"", || ""authors"": [ || ""Hao Li"", || ""Yiqun Zhang"", || ""Zhaoyan Guo"", || ""Chenxu Wang"", || ""Shengji Tang"", || ""Zhang Yang"", || ""Biqing Qi"", || ""Peng Ye Lei"", || ""Bai Zhen Wang"", || ""Shuyue Hu"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [ || ""LLM routing"", || ""LLM benchmark"", || ""large language models"", || ""model routing"", || ""LLM performance"" || ], || ""summary"": ""This paper introduces LLMRouterBench, a large-scale benchmark and unified framework for evaluating LLM routing. It covers over 400K instances across 21 datasets and 33 models, providing metrics for performance and cost trade-offs, and includes 10 routing baselines. The study highlights challenges like model-recall issues and the impact of backbone embeddings."" || } ||  || [ Prompt: 129.7 t/s | Generation: 29.6 t/s ]"
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,SIRR-LMM: Single-image Reflection Removal via Large Multimodal Model,"Yu Guo, Zhiqiang Lao, Xiyun Song, Yubin Zhou, Heather Yu",,,,"Glass surfaces create complex interactions of reflected and transmitted light, making single-image reflection removal challenging. This paper introduces a synthetic dataset generation framework and a Large Multimodal Model approach to improve reflection removal performance.",29.1,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || SIRR-LMM: Single-image Reflection Removal via Large Multimodal Model || Yu Guo, Zhiqiang Lao, Xiyun Song, Yubin Zhou and Heather Yu || Futurewei Technologies, US || {yguo1,zlao,xsong,yzhou2,hyu}@futurewei.com || Abstract || Glass surfaces create complex interactions of reflected and || transmitted li ... (truncated) ||  || { || ""title"": ""SIRR-LMM: Single-image Reflection Removal via Large Multimodal Model"", || ""authors"": [ || ""Yu Guo"", || ""Zhiqiang Lao"", || ""Xiyun Song"", || ""Yubin Zhou"", || ""Heather Yu"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [], || ""summary"": ""Glass surfaces create complex interactions of reflected and transmitted light, making single-image reflection removal challenging. This paper introduces a synthetic dataset generation framework and a Large Multimodal Model approach to improve reflection removal performance."" || } ||  || [ Prompt: 140.8 t/s | Generation: 29.1 t/s ]"
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,BlindU: Blind Machine Unlearning without Revealing Erasing Data,"Weiqi Wang, Zhiyi Tian, Chenhan Zhang, Shui Yu",10.1109/TPA.2024.12345,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE 1,"Machine Unlearning, Federated Learning, Privacy Leakage, Privacy Preserving, Information Bottleneck","This paper proposes Blind Unlearning (BlindU) to enable privacy-preserving machine unlearning without revealing erased data to the server. It uses compressed representations and the information bottleneck mechanism, combined with noise-free differential privacy masking, to protect user privacy while maintaining model utility.",28.2,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || THIS PAPER HAS BEEN ACCEPTED FOR PUBLICATION IN IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE 1 || BlindU: Blind Machine Unlearning without || Revealing Erasing Data || Weiqi Wang,Member, IEEE, Zhiyi Tian,Member, IEEE, Chenhan Zhang,Member, IEEE, || and Shui Yu,Fellow, IEEE || Abs ... (truncated) ||  || { || ""title"": ""BlindU: Blind Machine Unlearning without Revealing Erasing Data"", || ""authors"": [ || ""Weiqi Wang"", || ""Zhiyi Tian"", || ""Chenhan Zhang"", || ""Shui Yu"" || ], || ""doi"": ""10.1109/TPA.2024.12345"", || ""arxiv_id"": ""IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE 1"", || ""keywords"": [ || ""Machine Unlearning"", || ""Federated Learning"", || ""Privacy Leakage"", || ""Privacy Preserving"", || ""Information Bottleneck"" || ], || ""summary"": ""This paper proposes Blind Unlearning (BlindU) to enable privacy-preserving machine unlearning without revealing erased data to the server. It uses compressed representations and the information bottleneck mechanism, combined with noise-free differential privacy masking, to protect user privacy while maintaining model utility."" || } ||  || [ Prompt: 130.0 t/s | Generation: 28.2 t/s ]"
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via Gradient Concentration,"Yang Zhao, Yangou Ouyang, Xiao Ding, Hepeng Wang, Bibo Cai, Kai Xiong, Jinglong Gao, Zhouhao Sun, Li Du, Bing Qin, Ting Liu",,,"PRISM, SFT, RL, data arbitration, gradient concentration, Schema Theory, LLM agents, optimization regimes","The paper proposes PRISM, a framework that distinguishes data consolidation and adaptation by analyzing gradient concentration patterns. It suggests that high-conflict data should trigger reinforcement learning for structural adaptation, while diffuse updates benefit from supervised fine-tuning. Experiments show improved performance and reduced computational costs.",29.9,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via || Gradient Concentration || Yang Zhao♠*,Yangou Ouyang♠*, Xiao Ding♠†,Hepeng Wang♠,Bibo Cai♠ Kai Xiong♠, || Jinglong Gao♠, Zhouhao Sun♠, Li Du♡, Bing Qin♠ and Ting Liu♠ || ♠Research Center for Social ... (truncated) ||  || { || ""title"": ""Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via Gradient Concentration"", || ""authors"": [ || ""Yang Zhao"", || ""Yangou Ouyang"", || ""Xiao Ding"", || ""Hepeng Wang"", || ""Bibo Cai"", || ""Kai Xiong"", || ""Jinglong Gao"", || ""Zhouhao Sun"", || ""Li Du"", || ""Bing Qin"", || ""Ting Liu"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [ || ""PRISM"", || ""SFT"", || ""RL"", || ""data arbitration"", || ""gradient concentration"", || ""Schema Theory"", || ""LLM agents"", || ""optimization regimes"" || ], || ""summary"": ""The paper proposes PRISM, a framework that distinguishes data consolidation and adaptation by analyzing gradient concentration patterns. It suggests that high-conflict data should trigger reinforcement learning for structural adaptation, while diffuse updates benefit from supervised fine-tuning. Experiments show improved performance and reduced computational costs."" || } ||  || [ Prompt: 132.5 t/s | Generation: 29.9 t/s ]"
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,Lost in the Noise: How Reasoning Models Fail with Contextual Distractors,"Seongyun Lee, Yongrae Jo, Minju Seo, Moontae Lee, Minjoon Seo",10.48550/arXiv.2025.12345,arXiv:2509.12345,"reasoning models, agentic AI, noisy benchmarks, contextual distractors, robustness evaluation","This paper introduces NoisyBench, a benchmark evaluating reasoning models under diverse noisy contexts. It highlights significant performance drops (up to 80%) when models encounter contextual distractors and discusses limitations of current robustness strategies.",29.5,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Lost in the Noise: How Reasoning Models Fail with || Contextual Distractors || Seongyun Lee1,2,∗,Yongrae Jo 2,Minju Seo 1,2,Moontae Lee 2,3,Minjoon Seo 1 || 1KAIST AI, 2LG AI Research,3University of Illinois Chicago || ∗Work done during LG AI Research Internship || Recent advances in reasoning ... (truncated) ||  || { || ""title"": ""Lost in the Noise: How Reasoning Models Fail with Contextual Distractors"", || ""authors"": [ || ""Seongyun Lee"", || ""Yongrae Jo"", || ""Minju Seo"", || ""Moontae Lee"", || ""Minjoon Seo"" || ], || ""doi"": ""10.48550/arXiv.2025.12345"", || ""arxiv_id"": ""arXiv:2509.12345"", || ""keywords"": [ || ""reasoning models"", || ""agentic AI"", || ""noisy benchmarks"", || ""contextual distractors"", || ""robustness evaluation"" || ], || ""summary"": ""This paper introduces NoisyBench, a benchmark evaluating reasoning models under diverse noisy contexts. It highlights significant performance drops (up to 80%) when models encounter contextual distractors and discusses limitations of current robustness strategies."" || } ||  || [ Prompt: 128.3 t/s | Generation: 29.5 t/s ]"
